PG.Number,PG.PlayerFirstName,PG.PlayerLastName,PG.Ht,PG.Wt,PG.Yr,PG.Min.Pct,SG.Number,SG.PlayerFirstName,SG.PlayerLastName,SG.Ht,SG.Wt,SG.Yr,SG.Min.Pct,SF.Number,SF.PlayerFirstName,SF.PlayerLastName,SF.Ht,SF.Wt,SF.Yr,SF.Min.Pct,PF.Number,PF.PlayerFirstName,PF.PlayerLastName,PF.Ht,PF.Wt,PF.Yr,PF.Min.Pct,C.Number,C.PlayerFirstName,C.PlayerLastName,C.Ht,C.Wt,C.Yr,C.Min.Pct,Team,Year
NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,,NA,22,Gabe,Osabuohien,6-8,219, Fr,0.07,NA,NA,NA,NA,NA,,NA,Arkansas,2018
23,Martaveous,McKnight,6-4,190, Jr,0.88,10,Quamauri,Hardy,6-3,180, Fr,0.47,13,Joe,Randle,6-4,180, Sr,0.5,1,Charles,Jackson,6-5,210, Jr,0.37,35,Travon,Harper,6-8,220, Sr,0.58,Arkansas Pine Bluff,2018
10,Quamauri,Hardy,6-3,180, Fr,0.09,13,Joe,Randle,6-4,180, Sr,0.16,1,Charles,Jackson,6-5,210, Jr,0.3,12,Terrance,Banyard,6-8,215, Fr,0.29,15,Trent,Steen,6-8,225, Sr,0.28,Arkansas Pine Bluff,2018
NA,NA,NA,NA,NA,,NA,25,Christian,Robertson,6-4,NA, Jr,0.14,25,Christian,Robertson,6-4,NA, Jr,0.14,15,Trent,Steen,6-8,225, Sr,0.24,12,Terrance,Banyard,6-8,215, Fr,0.1,Arkansas Pine Bluff,2018
NA,NA,NA,NA,NA,,NA,30,Cameron,Posey,6-2,180, Fr,0.11,10,Quamauri,Hardy,6-3,180, Fr,0.06,25,Christian,Robertson,6-4,NA, Jr,0.05,52,David,Tillman,6-10,225, Sr,0.05,Arkansas Pine Bluff,2018
NA,NA,NA,NA,NA,,NA,40,J,Breun,6-2,175, So,0.07,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,,NA,Arkansas Pine Bluff,2018
3,Marquis,Eaton,6-2,196, Fr,0.65,1,Rashad,Lindsey,5-11,165, Sr,0.82,12,Connor,Kern,6-4,186, So,0.48,32,Tamas,Bruce,6-7,193, Sr,0.46,4,Tristin,Walley,6-7,211, Jr,0.46,Arkansas St.,2018
0,Ty,Cockfield,5-11,185, Jr,0.34,0,Ty,Cockfield,5-11,185, Jr,0.13,0,Ty,Cockfield,5-11,185, Jr,0.29,4,Tristin,Walley,6-7,211, Jr,0.31,2,Salif,Boudie,6-8,212, So,0.31,Arkansas St.,2018
NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,,NA,10,Grantham,Gillard,6-4,205, Jr,0.22,10,Grantham,Gillard,6-4,205, Jr,0.22,15,Jake,Scoggins,6-9,211, Fr,0.13,Arkansas St.,2018
NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,,NA,32,Tamas,Bruce,6-7,193, Sr,0.1,Arkansas St.,2018
3,Tommy,Funk,6-0,192, So,0.81,1,Jordan,Fox,6-1,188, Jr,0.61,10,Jacob,Kessler,6-4,193, Jr,0.53,25,Luke,Morrison,6-6,217, Sr,0.6,14,Matt,Wilson,6-9,243, So,0.52,Army,2018
1,Jordan,Fox,6-1,188, Jr,0.17,11,Tucker,Blackwell,6-1,173, Fr,0.24,52,John,Emezie,6-6,210, Jr,0.39,35,Alex,King,6-8,197, Fr,0.32,0,Babacar,Thiombane,6-7,198, Fr,0.26,Army,2018
NA,NA,NA,NA,NA,,NA,5,Lonnie,Grayson,6-0,159, Fr,0.08,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,,NA,35,Alex,King,6-8,197, Fr,0.18,Army,2018
1,Jared,Harper,5-10,170, So,0.77,2,Bryce,Brown,6-3,198, Jr,0.75,13,DeSean,Murray,6-3,225, Jr,0.63,5,Mustapha,Heron,6-5,218, So,0.55,4,Chuma,Okeke,6-8,230, Fr,0.66,Auburn,2018
10,Davion,Mitchell,6-1,200, Fr,0.21,10,Davion,Mitchell,6-1,200, Fr,0.19,5,Mustapha,Heron,6-5,218, So,0.22,14,Malik,Dunbar,6-6,230, Jr,0.23,0,Horace,Spencer,6-8,225, Jr,0.32,Auburn,2018
NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,,NA,14,Malik,Dunbar,6-6,230, Jr,0.11,0,Horace,Spencer,6-8,225, Jr,0.21,NA,NA,NA,NA,NA,,NA,Auburn,2018
1,Tre,Ivory,5-10,170, Sr,0.66,4,Dayton,Gumm,6-2,172, Fr,0.5,3,Chris,Porter,6-5,191, Jr,0.54,21,Terry,Taylor,6-5,217, Fr,0.87,24,Averyl,Ugba,6-7,225, Sr,0.84,Austin Peay,2018
25,Zach,Glotta,5-11,180, Jr,0.32,25,Zach,Glotta,5-11,180, Jr,0.32,23,Steve,Harris,6-4,185, Jr,0.25,22,Richard,Henderson,6-6,220, Fr,0.09,22,Richard,Henderson,6-6,220, Fr,0.11,Austin Peay,2018
NA,NA,NA,NA,NA,,NA,23,Steve,Harris,6-4,185, Jr,0.18,4,Dayton,Gumm,6-2,172, Fr,0.15,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,,NA,Austin Peay,2018
NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,,NA,0,Acoydan,McCarthy,6-6,174, Fr,0.06,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,,NA,Austin Peay,2018
2,Tayler,Persons,6-3,220, Jr,0.78,34,Sean,Sellers,6-6,216, Sr,0.39,14,Kyle,Mallers,6-7,220, So,0.42,25,Tahjai,Teague,6-8,222, So,0.53,24,Trey,Moses,6-9,245, Jr,0.79,Ball St.,2018
5,Ishmael,El,6-1,172, Fr,0.22,3,Josh,Thompson,6-0,200, So,0.31,34,Sean,Sellers,6-6,216, Sr,0.36,14,Kyle,Mallers,6-7,220, So,0.34,25,Tahjai,Teague,6-8,222, So,0.21,Ball St.,2018
NA,NA,NA,NA,NA,,NA,5,Ishmael,El,6-1,172, Fr,0.25,15,Zach,Gunn,6-6,220, Fr,0.2,15,Zach,Gunn,6-6,220, Fr,0.13,NA,NA,NA,NA,NA,,NA,Ball St.,2018
NA,NA,NA,NA,NA,,NA,0,Francis,Kiapway,6-3,190, Sr,0.05,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,,NA,Ball St.,2018
20,Manu,Lecomte,5-11,175, Sr,0.87,22,King,McClure,6-3,215, Jr,0.58,11,Mark,Vital,6-5,230, Fr,0.49,31,Terry,Maston,6-8,225, Sr,0.58,0,Jo,Lual,7-0,225, Sr,0.69,Baylor,2018
3,Jake,Lindsey,6-5,200, Jr,0.12,3,Jake,Lindsey,6-5,200, Jr,0.34,21,Nuni,Omot,6-9,205, Sr,0.36,21,Nuni,Omot,6-9,205, Sr,0.34,31,Terry,Maston,6-8,225, Sr,0.16,Baylor,2018
NA,NA,NA,NA,NA,,NA,10,Tyson,Jolly,6-4,190, Fr,0.06,3,Jake,Lindsey,6-5,200, Jr,0.11,NA,NA,NA,NA,NA,,NA,25,Tristan,Clark,6-9,240, Fr,0.15,Baylor,2018
1,Austin,Luke,6-3,200, Sr,0.93,11,Kevin,McClain,6-2,180, Jr,0.71,3,Dylan,Windler,6-7,195, Jr,0.79,32,Amanze,Egekeze,6-8,220, Sr,0.79,41,Tyler,Hadden,6-10,240, Sr,0.47,Belmont,2018
11,Kevin,McClain,6-2,180, Jr,0.08,21,Burton,Sampson,6-4,195, Sr,0.19,21,Burton,Sampson,6-4,195, Sr,0.18,25,Mack,Mercer,6-9,230, Jr,0.1,50,Seth,Adelsperger,6-11,225, So,0.29,Belmont,2018
NA,NA,NA,NA,NA,,NA,24,Michael,Benkert,6-4,195, So,0.1,NA,NA,NA,NA,NA,,NA,3,Dylan,Windler,6-7,195, Jr,0.06,25,Mack,Mercer,6-9,230, Jr,0.21,Belmont,2018
NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,,NA,41,Tyler,Hadden,6-10,240, Sr,0.05,NA,NA,NA,NA,NA,,NA,Belmont,2018
21,Jeffrey,Altidort,6-1,180, Sr,0.77,3,Brandon,Tabb,6-4,180, Sr,0.77,22,Houston,Smith,6-4,205, So,0.39,11,Soufiyane,Diakite,6-6,215, Jr,0.49,12,Shawntrez,Davis,6-9,220, Jr,0.63,Bethune Cookman,2018
2,Isaiah,Bailey,6-6,205, Jr,0.22,22,Houston,Smith,6-4,205, So,0.21,2,Isaiah,Bailey,6-6,205, Jr,0.36,2,Isaiah,Bailey,6-6,205, Jr,0.28,11,Soufiyane,Diakite,6-6,215, Jr,0.35,Bethune Cookman,2018
NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,,NA,4,Armani,Collins,6-6,180, Jr,0.24,4,Armani,Collins,6-6,180, Jr,0.21,NA,NA,NA,NA,NA,,NA,Bethune Cookman,2018
22,Everson,Davis,6-3,185, Jr,0.6,0,Fard,Muhammad,6-0,180, So,0.75,33,JC,Show,6-3,205, Jr,0.49,42,Willie,Rodriguez,6-6,220, Sr,0.47,32,Thomas,Bruce,6-9,225, Jr,0.79,Binghamton,2018
4,Timmy,Rose,6-1,175, Jr,0.27,33,JC,Show,6-3,205, Jr,0.13,40,Albert,Odero,6-4,190, Fr,0.23,15,Bobby,Ahearn,6-6,225, Sr,0.28,15,Bobby,Ahearn,6-6,225, Sr,0.1,Binghamton,2018
33,JC,Show,6-3,205, Jr,0.1,22,Everson,Davis,6-3,185, Jr,0.05,42,Willie,Rodriguez,6-6,220, Sr,0.14,20,Caleb,Stewart,6-9,195, Jr,0.14,41,Dusan,Perovic,6-9,230, Sr,0.06,Binghamton,2018
NA,NA,NA,NA,NA,,NA,NA,Mc,NA,NA,NA,Rae,0.05,30,John,Schurman,6-6,210, Jr,0.08,40,Albert,Odero,6-4,190, Fr,0.08,20,Caleb,Stewart,6-9,195, Jr,0.06,Binghamton,2018
2,Lexus,Williams,6-0,167, Sr,0.71,0,Marcus,Dickinson,6-2,177, So,0.49,15,Chandler,Hutchison,6-7,197, Sr,0.44,43,Christian,Sengfelder,6-9,246, Sr,0.53,11,Zach,Haney,6-11,239, Jr,0.57,Boise St.,2018
34,Alex,Hobbs,6-4,191, So,0.21,3,Justinian,Jessup,6-6,200, So,0.31,3,Justinian,Jessup,6-6,200, So,0.39,15,Chandler,Hutchison,6-7,197, Sr,0.31,10,Robin,Jorch,6-11,245, Jr,0.22,Boise St.,2018
